DateTime,MapCode,TotalLoadValue
2026-01-16 16:00:00,IE,5065.885
2026-01-16 16:30:00,IE,5193.277
2026-01-16 17:00:00,IE,5351.534
2026-01-16 17:30:00,IE,5502.5
2026-01-16 18:00:00,IE,5490.942
2026-01-16 18:30:00,IE,5410.797
2026-01-16 19:00:00,IE,5315.983
2026-01-16 19:30:00,IE,5228.978
2026-01-16 21:00:00,IE,4892.117
2026-01-16 21:30:00,IE,4756.315
2026-01-16 22:00:00,IE,4587.748
2026-01-16 22:30:00,IE,4431.357
2026-01-16 23:00:00,IE,4301.304
2026-01-16 23:30:00,IE,4354.58
2026-01-17 00:00:00,IE,4230.226
2026-01-17 00:30:00,IE,4120.936
2026-01-17 01:00:00,IE,4009.715
2026-01-17 01:30:00,IE,3956.856
2026-01-17 02:00:00,IE,3878.057
2026-01-17 02:30:00,IE,3941.828
2026-01-17 03:00:00,IE,3879.309
2026-01-17 03:30:00,IE,3842.212
2026-01-17 04:00:00,IE,3777.565
2026-01-17 04:30:00,IE,3745.446
2026-01-17 05:00:00,IE,3715.885
2026-01-17 05:30:00,IE,3721.814
2026-01-17 06:00:00,IE,3749.013
2026-01-17 06:30:00,IE,3835.623
2026-01-17 07:00:00,IE,3927.075
2026-01-17 07:30:00,IE,4056.973
2026-01-17 08:00:00,IE,4156.297
2026-01-17 08:30:00,IE,4298.797
2026-01-17 10:00:00,IE,4689.978
2026-01-17 10:30:00,IE,4752.294
2026-01-17 11:00:00,IE,4759.512
2026-01-17 11:30:00,IE,4763.004
2026-01-17 12:00:00,IE,4751.039
2026-01-17 12:30:00,IE,4760.96
2026-01-17 13:00:00,IE,4753.512
2026-01-17 13:30:00,IE,4760.266
2026-01-17 14:00:00,IE,4689.644
2026-01-17 14:30:00,IE,4691.902
2026-01-17 15:00:00,IE,4707.417
2026-01-17 15:30:00,IE,4723.391
2026-01-17 16:00:00,IE,4781.552
2026-01-17 16:30:00,IE,4882.576
2026-01-17 17:00:00,IE,5054.677
2026-01-17 17:30:00,IE,5255.624
2026-01-17 18:00:00,IE,5230.406
2026-01-17 18:30:00,IE,5168.473
2026-01-17 19:00:00,IE,5053.326
2026-01-17 19:30:00,IE,4952.57
2026-01-17 20:00:00,IE,4878.184
2026-01-17 20:30:00,IE,4767.866
2026-01-17 21:00:00,IE,4662.084
2026-01-17 21:30:00,IE,4544.602
2026-01-17 22:00:00,IE,4399.562
2026-01-17 22:30:00,IE,4262.089
2026-01-17 23:00:00,IE,4148.388
2026-01-17 23:30:00,IE,4217.745
2026-01-18 00:00:00,IE,4124.17
2026-01-18 00:30:00,IE,4050.552
2026-01-18 01:00:00,IE,3954.284
2026-01-18 01:30:00,IE,3870.923
2026-01-18 02:00:00,IE,3810.354
2026-01-18 02:30:00,IE,3865.726
2026-01-18 03:00:00,IE,3799.358
2026-01-18 03:30:00,IE,3745.102
2026-01-18 04:00:00,IE,3682.787
2026-01-18 04:30:00,IE,3647.796
2026-01-18 05:00:00,IE,3588.411
2026-01-18 05:30:00,IE,3596.364
2026-01-18 06:00:00,IE,3595.975
2026-01-18 06:30:00,IE,3638.915
2026-01-18 07:00:00,IE,3684.172
2026-01-18 07:30:00,IE,3792.863
2026-01-18 08:00:00,IE,3837.028
2026-01-18 08:30:00,IE,3898.89
2026-01-18 09:00:00,IE,4042.506
2026-01-18 09:30:00,IE,4190.889
2026-01-18 10:00:00,IE,4268.394
2026-01-18 10:30:00,IE,4328.65
2026-01-18 11:00:00,IE,4378.022
2026-01-18 11:30:00,IE,4388.048
2026-01-18 12:00:00,IE,4384.947
2026-01-18 12:30:00,IE,4453.495
2026-01-18 13:00:00,IE,4499
2026-01-18 13:30:00,IE,4489.11
2026-01-18 14:00:00,IE,4459.925
2026-01-18 14:30:00,IE,4453.831
2026-01-18 15:00:00,IE,4517.166
2026-01-18 15:30:00,IE,4562.71
2026-01-18 16:00:00,IE,4660.155
2026-01-18 16:30:00,IE,4790.258
2026-01-18 17:00:00,IE,4938.26
2026-01-18 17:30:00,IE,5084.547
2026-01-18 18:00:00,IE,5147.493
2026-01-18 18:30:00,IE,5099.163
2026-01-18 19:00:00,IE,5001.518
2026-01-18 19:30:00,IE,4911.687
2026-01-18 20:00:00,IE,4828.206
2026-01-18 20:30:00,IE,4687.586
2026-01-18 21:00:00,IE,4587.796
2026-01-18 21:30:00,IE,4414.909
2026-01-18 22:00:00,IE,4255.241
2026-01-18 22:30:00,IE,4077.788
2026-01-18 23:00:00,IE,3934.114
2026-01-18 23:30:00,IE,3959.887
2026-01-19 00:00:00,IE,3800.619
2026-01-19 00:30:00,IE,3756.264
2026-01-19 01:00:00,IE,3655.386
2026-01-19 01:30:00,IE,3575.722
2026-01-19 02:00:00,IE,3539.578
2026-01-19 02:30:00,IE,3655.067
2026-01-19 03:00:00,IE,3583.7
2026-01-19 03:30:00,IE,3570.95
2026-01-19 04:00:00,IE,3545.058
2026-01-19 04:30:00,IE,3542.725
2026-01-19 05:00:00,IE,3518.424
2026-01-19 05:30:00,IE,3584.824
2026-01-19 06:00:00,IE,3727.153
2026-01-19 06:30:00,IE,3961.214
2026-01-19 07:00:00,IE,4262.811
2026-01-19 07:30:00,IE,4677.07
2026-01-19 08:00:00,IE,4848.18
2026-01-19 08:30:00,IE,4943.61
2026-01-19 09:00:00,IE,5008.026
2026-01-19 09:30:00,IE,5107.326
2026-01-19 10:00:00,IE,5115.104
2026-01-19 10:30:00,IE,5134.612
2026-01-19 11:00:00,IE,5172.702
2026-01-19 11:30:00,IE,5193.296
2026-01-19 12:00:00,IE,5179.687
2026-01-19 12:30:00,IE,5189.223
2026-01-19 13:00:00,IE,5182.284
2026-01-19 13:30:00,IE,5109.963
2026-01-19 14:00:00,IE,5088.808
2026-01-19 14:30:00,IE,5104.559
2026-01-19 15:00:00,IE,5146.08
2026-01-19 15:30:00,IE,5197.272
2026-01-19 16:00:00,IE,5270.402
2026-01-19 16:30:00,IE,5386.151
2026-01-19 17:00:00,IE,5531.458
2026-01-19 17:30:00,IE,5677.367
2026-01-19 18:00:00,IE,5676.177
2026-01-19 18:30:00,IE,5605.332
2026-01-19 19:00:00,IE,5502.388
2026-01-19 19:30:00,IE,5431.702
2026-01-19 20:00:00,IE,5309.338
2026-01-19 20:30:00,IE,5203.119
2026-01-19 21:00:00,IE,5093.474
2026-01-19 21:30:00,IE,4866.55
2026-01-19 22:00:00,IE,4675.699
2026-01-19 22:30:00,IE,4510.713
2026-01-19 23:00:00,IE,4335.708
2026-01-19 23:30:00,IE,4307.23
2026-01-20 00:00:00,IE,4192.608
2026-01-20 00:30:00,IE,4130.762
2026-01-20 01:00:00,IE,3988.887
2026-01-20 01:30:00,IE,3924.682
2026-01-20 02:00:00,IE,3901.209
2026-01-20 02:30:00,IE,3953.978
2026-01-20 03:00:00,IE,3856.873
2026-01-20 03:30:00,IE,3803.569
2026-01-20 04:00:00,IE,3709.218
2026-01-20 04:30:00,IE,3646.599
2026-01-20 05:00:00,IE,3636.645
2026-01-20 05:30:00,IE,3707.257
2026-01-20 06:00:00,IE,3803.79
2026-01-20 06:30:00,IE,4038.988
2026-01-20 07:00:00,IE,4357.855
2026-01-20 07:30:00,IE,4713.81
2026-01-20 08:00:00,IE,4855.143
2026-01-20 08:30:00,IE,4933.87
2026-01-20 09:00:00,IE,5019.711
2026-01-20 09:30:00,IE,5117.984
2026-01-20 10:00:00,IE,5092.506
2026-01-20 10:30:00,IE,5069.992
2026-01-20 11:00:00,IE,5089.862
2026-01-20 11:30:00,IE,5091.051
2026-01-20 12:00:00,IE,5074.928
2026-01-20 12:30:00,IE,5018.627
2026-01-20 13:00:00,IE,5003.922
2026-01-20 13:30:00,IE,4918.97
2026-01-20 14:00:00,IE,4959.734
2026-01-20 14:30:00,IE,4948.463
2026-01-20 15:00:00,IE,4970.259
2026-01-20 15:30:00,IE,4990.435
2026-01-20 16:00:00,IE,5032.8
2026-01-20 16:30:00,IE,5162.114
2026-01-20 17:00:00,IE,5344.884
2026-01-20 17:30:00,IE,5536.204
2026-01-20 18:00:00,IE,5519.585
2026-01-20 18:30:00,IE,5464.918
2026-01-20 19:00:00,IE,5352.902
2026-01-20 19:30:00,IE,5286.56
2026-01-20 20:00:00,IE,5133.996
2026-01-20 20:30:00,IE,5027.312
2026-01-20 21:00:00,IE,4913.733
2026-01-20 21:30:00,IE,4746.834
2026-01-20 22:00:00,IE,4540.438
2026-01-20 22:30:00,IE,4364.54
2026-01-20 23:00:00,IE,4181.03
2026-01-20 23:30:00,IE,4174.12
2026-01-21 00:00:00,IE,4044.058
2026-01-21 00:30:00,IE,3971.757
2026-01-21 01:00:00,IE,3872.06
2026-01-21 01:30:00,IE,3823.526
2026-01-21 02:00:00,IE,3792.96
2026-01-21 02:30:00,IE,3875.196
2026-01-21 03:00:00,IE,3819.637
2026-01-21 03:30:00,IE,3734.671
2026-01-21 04:00:00,IE,3756.28
2026-01-21 04:30:00,IE,3728.763
2026-01-21 05:00:00,IE,3741.418
2026-01-21 05:30:00,IE,3758.82
2026-01-21 06:00:00,IE,3917.783
2026-01-21 06:30:00,IE,4145.202
2026-01-21 07:00:00,IE,4434.385
2026-01-21 07:30:00,IE,4789.33
2026-01-21 08:00:00,IE,4988.051
2026-01-21 08:30:00,IE,5042.398
2026-01-21 09:00:00,IE,5067.452
2026-01-21 09:30:00,IE,5120.118
2026-01-21 10:00:00,IE,5113.749
2026-01-21 10:30:00,IE,5020.797
2026-01-21 11:00:00,IE,5036.104
2026-01-21 11:30:00,IE,5035.144
2026-01-21 12:00:00,IE,5012.255
2026-01-21 12:30:00,IE,5069.487
2026-01-21 13:00:00,IE,5082.804
2026-01-21 13:30:00,IE,5034.604
2026-01-21 14:00:00,IE,5068.17
2026-01-21 14:30:00,IE,5067.934
